"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","THIS WEEK CRANE SPLIT BALANCE","","","","OBJECTIVES ","","SCORE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","NUMBER OF STOWAGES SENT","","","=COUNT(R9:R19336)","","","","","","","","","","","YTD - Year to date
CRANE SPLIT AVG DEVIATION","","","","","","","","","=AJ6","","","","","","=F3","","","","","","","PLS INSERT COMMENT","","1-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","STOWAGES SENT ON TIME","","=(COUNT(R9:R19336)-SUM(Q8:Q1344))/G3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BAD","0.15","0.1","EVEN","CAN YOU IMPROVE IT?","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","REVISED COPRAR","","","=COUNT(K9:K340)","","","","","","","","","","","","","","","","","","","","","","","","","","MOVES","","","=SUM(AJ9:AJ19337)","=SUM(AK9:AK19337)","=SUM(AL9:AL19337)","=SUM(AM9:AM19341)","GOOD JOB & HOW GET BETTER?","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","=SUM(AG9:AG19341)","","=AVERAGE(AI9:AI19337)","=AJ5/$G$3","=AK5/$G$3","=AL5/$G$3","=AM5/$G$3","EXCELENT-BE CONSISTENT AND SHARE BEST PRACTICES","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","CRANE SPLIT
SHIP'S CRANE                                    SHORE CRANE           .               ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PRODUCTIVITY","SHIP'S CRANE","","","","PRODUCTIVITY","SHORE CRANE","","","","","","WORK HOURS","DEVIATION","DEVIATION","TOT DEVIATION","Long Gang","Short Gang","Time Short Long Gang"
"","WEEK","COOR","ETA","VESSEL","VOYAGE","SERVICE","PORT","Bunker at Arrival","Bunker Purchased","REVISED COPRAR","REVISED STOWAGE","NUMBER OF COPRAR OVER WITHOUT ""OPT"" RMRK","NUMBER OF PRE-STOWS","NUMBER OF UNITS ROLLED","NUMBER OF LATE ADDITIONS","STOWAGE
""NOT""
SENT ON TIME","GANGS","1","2","3","4","Vessel CRANE DENSITY","1","2","3","4","5","6","Half Gang Calc","Half Gang","Shore CRANE DENSITY ","TOTAL MOVES","CARGO TIME DEVIATION Ship & Shore","CRANE MOVES DEVIATION","ABOVE 
15%","0.15","0.1","5% OR LESS","UNBALANCED","Hours from Short Gang to Long Gang","COMMENTS","Ship & Shore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","total moves","","1","2","3","4","","1","2","3","4","5","6","","","","","","",""
"","16","JBA101","41015","72D THEKLA SCHULTE","1207","848 ANDEAN ","BLB","","","","","","","","","","2","","","","","","264","257","","","","","","","","","","","","","","","=IF(AG9=0,"""",IF(AQ9=2,""SHIP & SHORE CRANE"",IF(AJ9=1,""PLS INSERT COMMENT"",IF(AK9=1,""CAN YOU IMPROVE IT?"",IF(AL9=1,""GOOD JOB & HOW GET BETTER?"",IF(AM9=1,""EXCELENT-BE CONSISTENT AND SHARE BEST PRACTICES"",""SINGLE CRANE""))))))","=IFERROR(EC9,"""")","","=DF9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","=SUM(DG9:DH9)","=IF(SUM(S9:V9)<1,"""",1)","=IF(SUM(X9:AC9)<1,"""",1)","","=AG9","=VLOOKUP(H9,'PORT PRODUCTIVITY 1'!$A$25:$G$83,2,FALSE)","=IF(S9=0,"""",(X9/$DK9))","=IF(T9=0,"""",(Y9/$DK9))","=IF(U9=0,"""",(Z9/$DK9))","=IF(V9=0,"""",(AA9/$DK9))","=VLOOKUP(H9,'PORT PRODUCTIVITY 1'!$A$25:$G$83,3,FALSE)","=IF(X9=0,"""",(X9/$DP9))","=IF(Y9=0,"""",(Y9/$DP9))","=IF(Z9=0,"""",(Z9/$DP9))","=IF(AA9=0,"""",(AA9/$DP9))","=IF(AB9=0,"""",(AB9/$DP9))","=IF(AC9=0,"""",(AC9/$DP9))","=IFERROR(AVERAGE(DQ9:DV9,DL9:DO9),"""")","=IFERROR(STDEV(DL9:DO9)/10,""0"")","=IFERROR(STDEV(DQ9:DV9)/10,""0"")","=IFERROR((STDEV(DL9:DO9,DQ9:DV9)/10),"""")","=MAX(DL9:DO9,DQ9:DV9)","=MIN(DL9:DO9,DQ9:DV9)","=EA9-EB9"
"","16","JBA101","41015","968 OLIVIA MAERSK","1211","84Q INTRAWCSA","BLB","","","","","","","","","","3","","","","","","356","359","349","","","","","","","","","","","","","","=IF(AG10=0,"""",IF(AQ10=2,""SHIP & SHORE CRANE"",IF(AJ10=1,""PLS INSERT COMMENT"",IF(AK10=1,""CAN YOU IMPROVE IT?"",IF(AL10=1,""GOOD JOB & HOW GET BETTER?"",IF(AM10=1,""EXCELENT-BE CONSISTENT AND SHARE BEST PRACTICES"",""SINGLE CRANE""))))))","=IFERROR(EC10,"""")","","=DF10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","=SUM(DG10:DH10)","=IF(SUM(S10:V10)<1,"""",1)","=IF(SUM(X10:AC10)<1,"""",1)","","=AG10","=VLOOKUP(H10,'PORT PRODUCTIVITY 1'!$A$25:$G$83,2,FALSE)","=IF(S10=0,"""",(X10/$DK10))","=IF(T10=0,"""",(Y10/$DK10))","=IF(U10=0,"""",(Z10/$DK10))","=IF(V10=0,"""",(AA10/$DK10))","=VLOOKUP(H10,'PORT PRODUCTIVITY 1'!$A$25:$G$83,3,FALSE)","=IF(X10=0,"""",(X10/$DP10))","=IF(Y10=0,"""",(Y10/$DP10))","=IF(Z10=0,"""",(Z10/$DP10))","=IF(AA10=0,"""",(AA10/$DP10))","=IF(AB10=0,"""",(AB10/$DP10))","=IF(AC10=0,"""",(AC10/$DP10))","=IFERROR(AVERAGE(DQ10:DV10,DL10:DO10),"""")","=IFERROR(STDEV(DL10:DO10)/10,""0"")","=IFERROR(STDEV(DQ10:DV10)/10,""0"")","=IFERROR((STDEV(DL10:DO10,DQ10:DV10)/10),"""")","=MAX(DL10:DO10,DQ10:DV10)","=MIN(DL10:DO10,DQ10:DV10)","=EA10-EB10"
"","16","JBA101","41016","5SF NEDLLOYD MARITA","1207","848 ANDEAN ","GUQ","","","","","","","","","","2","","","","","","328","219","","","","","","","","","","","","","","","=IF(AG11=0,"""",IF(AQ11=2,""SHIP & SHORE CRANE"",IF(AJ11=1,""PLS INSERT COMMENT"",IF(AK11=1,""CAN YOU IMPROVE IT?"",IF(AL11=1,""GOOD JOB & HOW GET BETTER?"",IF(AM11=1,""EXCELENT-BE CONSISTENT AND SHARE BEST PRACTICES"",""SINGLE CRANE""))))))","=IFERROR(EC11,"""")","","=DF11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","=SUM(DG11:DH11)","=IF(SUM(S11:V11)<1,"""",1)","=IF(SUM(X11:AC11)<1,"""",1)","","=AG11","=VLOOKUP(H11,'PORT PRODUCTIVITY 1'!$A$25:$G$83,2,FALSE)","=IF(S11=0,"""",(X11/$DK11))","=IF(T11=0,"""",(Y11/$DK11))","=IF(U11=0,"""",(Z11/$DK11))","=IF(V11=0,"""",(AA11/$DK11))","=VLOOKUP(H11,'PORT PRODUCTIVITY 1'!$A$25:$G$83,3,FALSE)","=IF(X11=0,"""",(X11/$DP11))","=IF(Y11=0,"""",(Y11/$DP11))","=IF(Z11=0,"""",(Z11/$DP11))","=IF(AA11=0,"""",(AA11/$DP11))","=IF(AB11=0,"""",(AB11/$DP11))","=IF(AC11=0,"""",(AC11/$DP11))","=IFERROR(AVERAGE(DQ11:DV11,DL11:DO11),"""")","=IFERROR(STDEV(DL11:DO11)/10,""0"")","=IFERROR(STDEV(DQ11:DV11)/10,""0"")","=IFERROR((STDEV(DL11:DO11,DQ11:DV11)/10),"""")","=MAX(DL11:DO11,DQ11:DV11)","=MIN(DL11:DO11,DQ11:DV11)","=EA11-EB11"
"","16","JBA101","41016","5QF NEDLLOYD ADRIANA","1206","15A CRX","VER","","","","","","","","","","4","","","","","","261","276","264","263","","","","","","","","","","","","","=IF(AG12=0,"""",IF(AQ12=2,""SHIP & SHORE CRANE"",IF(AJ12=1,""PLS INSERT COMMENT"",IF(AK12=1,""CAN YOU IMPROVE IT?"",IF(AL12=1,""GOOD JOB & HOW GET BETTER?"",IF(AM12=1,""EXCELENT-BE CONSISTENT AND SHARE BEST PRACTICES"",""SINGLE CRANE""))))))","=IFERROR(EC12,"""")","","=DF12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","=SUM(DG12:DH12)","=IF(SUM(S12:V12)<1,"""",1)","=IF(SUM(X12:AC12)<1,"""",1)","","=AG12","=VLOOKUP(H12,'PORT PRODUCTIVITY 1'!$A$25:$G$83,2,FALSE)","=IF(S12=0,"""",(X12/$DK12))","=IF(T12=0,"""",(Y12/$DK12))","=IF(U12=0,"""",(Z12/$DK12))","=IF(V12=0,"""",(AA12/$DK12))","=VLOOKUP(H12,'PORT PRODUCTIVITY 1'!$A$25:$G$83,3,FALSE)","=IF(X12=0,"""",(X12/$DP12))","=IF(Y12=0,"""",(Y12/$DP12))","=IF(Z12=0,"""",(Z12/$DP12))","=IF(AA12=0,"""",(AA12/$DP12))","=IF(AB12=0,"""",(AB12/$DP12))","=IF(AC12=0,"""",(AC12/$DP12))","=IFERROR(AVERAGE(DQ12:DV12,DL12:DO12),"""")","=IFERROR(STDEV(DL12:DO12)/10,""0"")","=IFERROR(STDEV(DQ12:DV12)/10,""0"")","=IFERROR((STDEV(DL12:DO12,DQ12:DV12)/10),"""")","=MAX(DL12:DO12,DQ12:DV12)","=MIN(DL12:DO12,DQ12:DV12)","=EA12-EB12"
"","16","JBA101","41016","5RF NEDLLOYD JULIANA","1208","848 ANDEAN ","CLZ","","","","","","","","","","2","","","","","","184","179","","","","","","","","","","","","","","","=IF(AG13=0,"""",IF(AQ13=2,""SHIP & SHORE CRANE"",IF(AJ13=1,""PLS INSERT COMMENT"",IF(AK13=1,""CAN YOU IMPROVE IT?"",IF(AL13=1,""GOOD JOB & HOW GET BETTER?"",IF(AM13=1,""EXCELENT-BE CONSISTENT AND SHARE BEST PRACTICES"",""SINGLE CRANE""))))))","=IFERROR(EC13,"""")","POWER WEEKEND BAD SPLIT BY PREVIUS COOR ","=DF13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","=SUM(DG13:DH13)","=IF(SUM(S13:V13)<1,"""",1)","=IF(SUM(X13:AC13)<1,"""",1)","","=AG13","=VLOOKUP(H13,'PORT PRODUCTIVITY 1'!$A$25:$G$83,2,FALSE)","=IF(S13=0,"""",(X13/$DK13))","=IF(T13=0,"""",(Y13/$DK13))","=IF(U13=0,"""",(Z13/$DK13))","=IF(V13=0,"""",(AA13/$DK13))","=VLOOKUP(H13,'PORT PRODUCTIVITY 1'!$A$25:$G$83,3,FALSE)","=IF(X13=0,"""",(X13/$DP13))","=IF(Y13=0,"""",(Y13/$DP13))","=IF(Z13=0,"""",(Z13/$DP13))","=IF(AA13=0,"""",(AA13/$DP13))","=IF(AB13=0,"""",(AB13/$DP13))","=IF(AC13=0,"""",(AC13/$DP13))","=IFERROR(AVERAGE(DQ13:DV13,DL13:DO13),"""")","=IFERROR(STDEV(DL13:DO13)/10,""0"")","=IFERROR(STDEV(DQ13:DV13)/10,""0"")","=IFERROR((STDEV(DL13:DO13,DQ13:DV13)/10),"""")","=MAX(DL13:DO13,DQ13:DV13)","=MIN(DL13:DO13,DQ13:DV13)","=EA13-EB13"
